"","cited","citing"
"1","10.1038/nature19791","10.1096/fj.201801909r"
"2","10.1038/nature19791","10.1002/ange.201901572"
"3","10.1038/nature19791","10.1021/acs.langmuir.7b03617"
"4","10.1038/nature19791","10.1038/nchembio.2380"
"5","10.1038/nature19791","10.1016/j.str.2020.04.005"
"6","10.1038/nature19791","10.1021/acs.jcim.7b00677"
"7","10.1038/nature19791","10.1016/j.jmb.2021.167160"
"8","10.1038/nature19791","10.1002/adma.201804971"
"9","10.1038/nature19791","10.1038/s41598-017-05037-1"
"10","10.1038/nature19791","10.3389/fimmu.2022.999034"
"11","10.1038/nature19791","10.1039/c7sc03956e"
"12","10.1038/nature19791","10.1002/advs.202104012"
"13","10.1038/nature19791","10.1021/acs.jpclett.2c02385"
"14","10.1038/nature19791","10.1021/acs.biochem.9b00065"
"15","10.1038/nature19791","10.1021/acs.biochem.8b00940"
"16","10.1038/nature19791","10.7554/elife.32955"
"17","10.1038/nature19791","10.1038/s41467-022-29210-x"
"18","10.1038/nature19791","10.1186/s12870-018-1361-y"
"19","10.1038/nature19791","10.1039/c9cc07898c"
"20","10.1038/nature19791","10.1021/acs.biochem.7b00722"
"21","10.1038/nature19791","10.1021/acs.biochem.7b00375"
"22","10.1038/nature19791","10.1039/d1md00098e"
"23","10.1038/nature19791","10.1016/j.crstbi.2021.02.002"
"24","10.1038/nature19791","10.1016/j.matt.2019.09.013"
"25","10.1038/nature19791","10.1021/jacs.2c04620"
"26","10.1038/nature19791","10.1021/jacs.2c00216"
"27","10.1038/nature19791","10.1186/s40580-021-00294-3"
"28","10.1038/nature19791","10.1093/protein/gzab007"
"29","10.1038/nature19791","10.1093/protein/gzz016"
"30","10.1038/nature19791","10.1093/protein/gzz009"
"31","10.1038/nature19791","10.1093/protein/gzy028"
"32","10.1038/nature19791","10.1016/j.biotechadv.2022.108032"
"33","10.1038/nature19791","10.1002/macp.202200103"
"34","10.1038/nature19791","10.1002/pro.4368"
"35","10.1038/nature19791","10.1002/pro.3974"
"36","10.1038/nature19791","10.1002/pro.3758"
"37","10.1038/nature19791","10.1002/pro.3721"
"38","10.1038/nature19791","10.1002/pro.3601"
"39","10.1038/nature19791","10.1038/s41467-021-27222-7"
"40","10.1038/nature19791","10.1038/s41467-017-02098-8"
"41","10.1038/nature19791","10.3390/info8010029"
"42","10.1038/nature19791","10.1016/j.bcp.2020.114291"
"43","10.1038/nature19791","10.1038/s41524-020-0288-7"
"44","10.1038/nature19791","10.1002/pro.3453"
"45","10.1038/nature19791","10.1002/pro.3313"
"46","10.1038/nature19791","10.1021/acs.analchem.8b01556"
"47","10.1038/nature19791","10.1021/acs.analchem.8b01624"
"48","10.1038/nature19791","10.1002/anie.201901572"
"49","10.1038/nature19791","10.1002/anie.201813827"
"50","10.1038/nature19791","10.1016/j.molliq.2021.116537"
"51","10.1038/nature19791","10.1021/jacs.1c04378"
"52","10.1038/nature19791","10.1039/d0cb00062k"
"53","10.1038/nature19791","10.1073/pnas.2116097119"
"54","10.1038/nature19791","10.1002/syst.202000025"
"55","10.1038/nature19791","10.1016/j.gce.2022.07.010"
"56","10.1038/nature19791","10.1093/bib/bbad289"
"57","10.1038/nature19791","10.1126/science.abj7662"
"58","10.1038/nature19791","10.1088/1361-6633/ac78ef"
"59","10.1038/nature19791","10.1016/j.sbi.2020.10.015"
"60","10.1038/nature19791","10.1002/anie.201801361"
"61","10.1038/nature19791","10.1016/j.bmcl.2022.128806"
"62","10.1038/nature19791","10.1038/s41467-021-23609-8"
"63","10.1038/nature19791","10.1002/1873-3468.13796"
"64","10.1038/nature19791","10.1002/1873-3468.13444"
"65","10.1038/nature19791","10.1021/acs.jmedchem.0c02159"
"66","10.1038/nature19791","10.1039/c7cc09142g"
"67","10.1038/nature19791","10.1002/pro.4908"
"68","10.1038/nature19791","10.1016/j.tibs.2019.12.008"
"69","10.1038/nature19791","10.1016/j.sbi.2020.04.006"
"70","10.1038/nature19791","10.1016/j.sbi.2017.03.012"
"71","10.1038/nature19791","10.1016/j.bmcl.2021.127852"
"72","10.1038/nature19791","10.1021/jacs.9b11617"
"73","10.1038/nature19791","10.1021/acs.jmedchem.0c01500"
"74","10.1038/nature19791","10.1021/acs.jmedchem.0c00303"
"75","10.1038/nature19791","10.1073/pnas.2102164118"
"76","10.1038/nature19791","10.1073/pnas.2102168118"
"77","10.1038/nature19791","10.1016/j.bpj.2024.01.029"
"78","10.1038/nature19791","10.4155/tde-2017-0020"
"79","10.1038/nature19791","10.1021/acs.joc.0c01600"
"80","10.1038/nature19791","10.1080/17460441.2021.1961740"
"81","10.1038/nature19791","10.1080/17460441.2021.1918097"
"82","10.1038/nature19791","10.1080/17460441.2020.1751117"
"83","10.1038/nature19791","10.1080/17460441.2019.1552936"
"84","10.1038/nature19791","10.1080/17460441.2018.1465922"
"85","10.1038/nature19791","10.1080/17460441.2018.1445085"
"86","10.1038/nature19791","10.1080/17460441.2017.1317243"
"87","10.1038/nature19791","10.1073/pnas.2021569118"
"88","10.1038/nature19791","10.1073/pnas.2012800118"
"89","10.1038/nature19791","10.1073/pnas.2017228118"
"90","10.1038/nature19791","10.1039/c7cc90258a"
"91","10.1038/nature19791","10.1073/pnas.2206240119"
"92","10.1038/nature19791","10.1080/07391102.2019.1682051"
"93","10.1038/nature19791","10.1021/acscentsci.8b00912"
"94","10.1038/nature19791","10.1016/j.jsb.2018.02.004"
"95","10.1038/nature19791","10.1016/j.jsb.2017.09.001"
"96","10.1038/nature19791","10.1002/ange.201813827"
"97","10.1038/nature19791","10.1038/s41587-020-0577-1"
"98","10.1038/nature19791","10.1002/cbic.202100450"
"99","10.1038/nature19791","10.18359/rfcb.5434"
"100","10.1038/nature19791","10.1016/j.xphs.2020.12.041"
"101","10.1038/nature19791","10.1021/acs.accounts.7b00186"
"102","10.1038/nature19791","10.1021/acs.jpcb.8b10649"
"103","10.1038/nature19791","10.1021/acschemneuro.1c00567"
"104","10.1038/nature19791","10.1039/c9ra02137j"
"105","10.1038/nature19791","10.1038/s41467-020-20549-7"
"106","10.1038/nature19791","10.1021/acs.jmedchem.8b00378"
"107","10.1038/nature19791","10.1016/j.cclet.2022.107871"
"108","10.1038/nature19791","10.1126/science.aau3775"
"109","10.1038/nature19791","10.1039/d2sc00924b"
"110","10.1038/nature19791","10.1016/j.biomaterials.2017.02.023"
"111","10.1038/nature19791","10.1021/acsnano.0c09509"
"112","10.1038/nature19791","10.1002/anie.201611914"
"113","10.1038/nature19791","10.1021/acs.joc.9b00164"
"114","10.1038/nature19791","10.1021/jacs.8b11246"
"115","10.1038/nature19791","10.3390/v13102047"
"116","10.1038/nature19791","10.1038/s41467-023-41717-5"
"117","10.1038/nature19791","10.1039/d1sc02952e"
"118","10.1038/nature19791","10.1039/d1sc00692d"
"119","10.1038/nature19791","10.1039/d1sc01031j"
"120","10.1038/nature19791","10.1002/anie.201702472"
"121","10.1038/nature19791","10.1021/jacs.8b10082"
"122","10.1038/nature19791","10.3389/fnmol.2019.00054"
"123","10.1038/nature19791","10.1021/acs.jnatprod.1c00672"
"124","10.1038/nature19791","10.1038/nature23912"
"125","10.1038/nature19791","10.1126/science.aap7577"
"126","10.1038/nature19791","10.1126/science.aap9608"
"127","10.1038/nature19791","10.1016/j.bmc.2020.115896"
"128","10.1038/nature19791","10.1073/pnas.1914982117"
"129","10.1038/nature19791","10.1021/acs.jnatprod.8b00521"
"130","10.1038/nature19791","10.1515/hsz-2018-0348"
"131","10.1038/nature19791","10.1021/acs.jctc.3c01054"
"132","10.1038/nature19791","10.1126/science.aan0693"
"133","10.1038/nature19791","10.1111/febs.14394"
"134","10.1038/nature19791","10.1098/rsif.2018.0472"
"135","10.1038/nature19791","10.1016/j.ddtec.2017.11.007"
"136","10.1038/nature19791","10.1021/acs.jcim.1c00453"
"137","10.1038/nature19791","10.1515/psr-2020-0125"
"138","10.1038/nature19791","10.1021/acsbiomedchemau.2c00008"
"139","10.1038/nature19791","10.1038/s41594-021-00649-8"
"140","10.1038/nature19791","10.1038/s41594-018-0141-6"
"141","10.1038/nature19791","10.1038/s41594-018-0033-9"
"142","10.1038/nature19791","10.1074/jbc.ra118.004146"
"143","10.1038/nature19791","10.1016/j.biotechadv.2018.10.011"
"144","10.1038/nature19791","10.1021/acs.chemrev.0c01087"
"145","10.1038/nature19791","10.1002/chem.202101201"
"146","10.1038/nature19791","10.1021/acs.jcim.8b00375"
"147","10.1038/nature19791","10.1021/acs.jcim.8b00267"
"148","10.1038/nature19791","10.1016/j.csbj.2022.08.070"
"149","10.1038/nature19791","10.1073/pnas.2206111119"
"150","10.1038/nature19791","10.1038/nature19946"
"151","10.1038/nature19791","10.1039/d3cc04630c"
"152","10.1038/nature19791","10.1039/c7sc05163h"
"153","10.1038/nature19791","10.1021/acsomega.0c02574"
"154","10.1038/nature19791","10.1016/j.bbagen.2020.129633"
"155","10.1038/nature19791","10.1103/physrevresearch.6.013162"
"156","10.1038/nature19791","10.1002/wcms.1374"
"157","10.1038/nature19791","10.1002/wcms.1318"
"158","10.1038/nature19791","10.3389/fmolb.2022.848689"
"159","10.1038/nature19791","10.1017/s0033583519000131"
"160","10.1038/nature19791","10.1002/cbic.201800558"
"161","10.1038/nature19791","10.1002/cbic.201800346"
"162","10.1038/nature19791","10.1002/cbic.201800026"
"163","10.1038/nature19791","10.1016/j.cell.2022.07.019"
"164","10.1038/nature19791","10.1016/j.cbpa.2020.02.002"
"165","10.1038/nature19791","10.1016/j.cell.2020.08.015"
"166","10.1038/nature19791","10.1002/ddr.21398"
"167","10.1038/nature19791","10.1002/jcc.25589"
"168","10.1038/nature19791","10.1073/pnas.2207327119"
"169","10.1038/nature19791","10.1039/c8ob01678j"
"170","10.1038/nature19791","10.1073/pnas.2207974120"
"171","10.1038/nature19791","10.1039/c6ob02746f"
"172","10.1038/nature19791","10.2174/0929867325666180831165704"
"173","10.1038/nature19791","10.1038/s41467-024-45480-z"
"174","10.1038/nature19791","10.1016/j.ijbiomac.2023.127089"
"175","10.1038/nature19791","10.2174/1381612828666220929154255"
"176","10.1038/nature19791","10.1039/d2cp04690c"
"177","10.1038/nature19791","10.1016/j.ijbiomac.2023.126811"
"178","10.1038/nature19791","10.2147/oajc.s375634"
"179","10.1038/nature19791","10.1002/ange.201801361"
"180","10.1038/nature19791","10.1021/acs.jpclett.0c00929"
"181","10.1038/nature19791","10.1371/journal.pone.0240450"
"182","10.1038/nature19791","10.1146/annurev-micro-090816-093247"
"183","10.1038/nature19791","10.1371/journal.pcbi.1010271"
"184","10.1038/nature19791","10.1371/journal.pcbi.1009037"
"185","10.1038/nature19791","10.1002/cbic.202200537"
"186","10.1038/nature19791","10.1371/journal.pcbi.1010947"
"187","10.1038/nature19791","10.1016/j.cclet.2018.03.015"
"188","10.1038/nature19791","10.1007/s11356-021-15310-6"
"189","10.1038/nature19791","10.1126/scitranslmed.abn0402"
"190","10.1038/nature19791","10.1021/acs.orglett.9b00378"
"191","10.1038/nature19791","10.1021/acs.jctc.1c00077"
"192","10.1038/nature19791","10.1073/pnas.1722633115"
"193","10.1038/nature19791","10.1016/j.drudis.2021.01.022"
"194","10.1038/nature19791","10.1039/d2cc00008c"
"195","10.1038/nature19791","10.3389/fmolb.2022.928534"
"196","10.1038/nature19791","10.1016/j.ijbiomac.2020.05.102"
"197","10.1038/nature19791","10.1021/acs.jctc.7b00125"
"198","10.1038/nature19791","10.1002/cbic.202200588"
"199","10.1038/nature19791","10.1021/jacs.2c12462"
"200","10.1038/nature19791","10.1038/s41586-023-05993-x"
"201","10.1038/nature19791","10.1371/journal.pcbi.1006969"
"202","10.1038/nature19791","10.1016/j.pep.2019.01.007"
"203","10.1038/nature19791","10.1021/acs.molpharmaceut.0c00118"
"204","10.1038/nature19791","10.1021/acs.jctc.9b00101"
"205","10.1038/nature19791","10.1021/acscatal.1c01097"
"206","10.1038/nature19791","10.1016/j.tips.2019.04.012"
"207","10.1038/nature19791","10.1016/j.tips.2019.03.004"
"208","10.1038/nature19791","10.1038/s41598-018-24766-5"
"209","10.1038/nature19791","10.1038/s41598-018-24760-x"
"210","10.1038/nature19791","10.1038/s41467-022-33004-6"
"211","10.1038/nature19791","10.1038/s41467-022-32075-9"
"212","10.1038/nature19791","10.1039/d2sc05343h"
"213","10.1038/nature19791","10.1038/s41573-019-0013-8"
"214","10.1038/nature19791","10.1093/bioinformatics/btab598"
"215","10.1038/nature19791","10.1093/bib/bby130"
"216","10.1038/nature19791","10.1002/ange.201702472"
"217","10.1038/nature19791","10.1038/s41589-020-00699-x"
"218","10.1038/nature19791","10.1038/s41592-020-0848-2"
"219","10.1038/nature19791","10.1002/prot.25445"
"220","10.1038/nature19791","10.1007/s10989-022-10362-9"
"221","10.1038/nature19791","10.1016/j.csbj.2022.06.021"
"222","10.1038/nature19791","10.1073/pnas.1713526115"
"223","10.1038/nature19791","10.1021/acs.jmedchem.2c01077"
"224","10.1038/nature19791","10.1007/s10822-022-00482-1"
"225","10.1038/nature19791","10.1021/acs.jpcb.2c05470"
"226","10.1038/nature19791","10.1007/s11244-018-0953-y"
"227","10.1038/nature19791","10.1016/j.jbc.2021.100558"
"228","10.1038/nature19791","10.1016/j.jbc.2021.100425"
"229","10.1038/nature19791","10.1021/acs.analchem.1c00395"
"230","10.1038/nature19791","10.1002/ange.201611914"
"231","10.1038/nature19791","10.3390/toxins12090598"
"232","10.1038/nature19791","10.1038/s41589-018-0039-y"
"233","10.1038/nature19791","10.1021/acs.jctc.7b00125"
"234","10.1038/nature19791","10.1016/j.csbj.2020.06.018"
"235","10.1038/nature19791","10.1073/pnas.1710695114"
"236","10.1038/nature19791","10.1002/cbic.202300745"
"237","10.1038/nature19791","10.1038/s41594-023-01147-9"
"238","10.1038/nature19791","10.7554/elife.36326"
"239","10.1038/nature19791","10.3390/ijms22041611"
"240","10.1038/nature19791","10.3389/fphar.2022.842032"
"241","10.1038/nature19791","10.1002/chem.201703199"
"242","10.1038/nature19791","10.3390/mca26020039"
"243","10.1038/nature19791","10.3390/life7020023"
"244","10.1038/nature19791","10.1186/s12859-024-05637-5"
"245","10.1038/nature19791","10.1021/acs.biochem.0c00533"
"246","10.1073/pnas.71.10.4135","10.1016/j.biotechadv.2013.04.008"
"247","10.1073/pnas.71.10.4135","10.1111/febs.12892"
"248","10.1073/pnas.71.10.4135","10.1111/febs.12532"
"249","10.1073/pnas.71.10.4135","10.1098/rsif.2008.0280"
"250","10.1073/pnas.71.10.4135","10.1016/j.jtbi.2004.06.026"
"251","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1994.tb20059.x"
"252","10.1073/pnas.71.10.4135","10.1038/s41467-020-14806-y"
"253","10.1073/pnas.71.10.4135","10.1016/j.isci.2021.103526"
"254","10.1073/pnas.71.10.4135","10.1103/revmodphys.92.025001"
"255","10.1073/pnas.71.10.4135","10.1016/j.plrev.2016.06.010"
"256","10.1073/pnas.71.10.4135","10.1371/journal.pone.0000244"
"257","10.1073/pnas.71.10.4135","10.1111/j.1469-185x.2008.00052.x"
"258","10.1073/pnas.71.10.4135","10.1103/physrevresearch.3.l032034"
"259","10.1073/pnas.71.10.4135","10.1103/physrevlett.93.258103"
"260","10.1073/pnas.71.10.4135","10.1016/j.jmb.2021.167189"
"261","10.1073/pnas.71.10.4135","10.1016/j.jmb.2020.07.007"
"262","10.1073/pnas.71.10.4135","10.1016/s0022-2836(03)00236-5"
"263","10.1073/pnas.71.10.4135","10.1002/bies.950060109"
"264","10.1073/pnas.71.10.4135","10.1002/(sici)1521-1878(199802)20:2<181::aid-bies10>3.0.co;2-0"
"265","10.1073/pnas.71.10.4135","10.1002/bies.20010"
"266","10.1073/pnas.71.10.4135","10.1002/bies.10369"
"267","10.1073/pnas.71.10.4135","10.1016/j.physrep.2020.01.001"
"268","10.1073/pnas.71.10.4135","10.1016/j.physrep.2020.01.002"
"269","10.1073/pnas.71.10.4135","10.1016/j.physrep.2013.03.005"
"270","10.1073/pnas.71.10.4135","10.7124/bc.000873"
"271","10.1073/pnas.71.10.4135","10.7124/bc.00082d"
"272","10.1073/pnas.71.10.4135","10.1039/d2cs00114d"
"273","10.1073/pnas.71.10.4135","10.1073/pnas.1307288110"
"274","10.1073/pnas.71.10.4135","10.1073/pnas.1301585110"
"275","10.1073/pnas.71.10.4135","10.1073/pnas.0705988104"
"276","10.1073/pnas.71.10.4135","10.1038/269655a0"
"277","10.1073/pnas.71.10.4135","10.1016/j.physa.2022.127735"
"278","10.1073/pnas.71.10.4135","10.1002/qua.560480710"
"279","10.1073/pnas.71.10.4135","10.1038/nri2688"
"280","10.1073/pnas.71.10.4135","10.1038/nri2469"
"281","10.1073/pnas.71.10.4135","10.1126/science.1904626"
"282","10.1073/pnas.71.10.4135","10.1021/bi00588a039"
"283","10.1073/pnas.71.10.4135","10.1021/acs.jpcb.9b08380"
"284","10.1073/pnas.71.10.4135","10.1021/acs.jpcb.9b05722"
"285","10.1073/pnas.71.10.4135","10.1128/mr.42.3.529-576.1978"
"286","10.1073/pnas.71.10.4135","10.1128/mr.56.4.592-621.1992"
"287","10.1073/pnas.71.10.4135","10.1128/mr.60.1.103-134.1996"
"288","10.1073/pnas.71.10.4135","10.1128/mr.56.3.412-429.1992"
"289","10.1073/pnas.71.10.4135","10.1042/bst0360567"
"290","10.1073/pnas.71.10.4135","10.1098/rsfs.2022.0013"
"291","10.1073/pnas.71.10.4135","10.1038/nsmb.1880"
"292","10.1073/pnas.71.10.4135","10.1016/s0021-9258(19)51068-7"
"293","10.1073/pnas.71.10.4135","10.1074/jbc.m110.105320"
"294","10.1073/pnas.71.10.4135","10.1074/jbc.m110.133553"
"295","10.1073/pnas.71.10.4135","10.1016/j.pharmthera.2022.108175"
"296","10.1073/pnas.71.10.4135","10.1007/bf00331638"
"297","10.1073/pnas.71.10.4135","10.1016/j.copbio.2018.01.029"
"298","10.1073/pnas.71.10.4135","10.2119/molmed.2009.00026"
"299","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1979.tb12915.x"
"300","10.1073/pnas.71.10.4135","10.1142/s0218339018500158"
"301","10.1073/pnas.71.10.4135","10.1016/0014-5793(80)80211-0"
"302","10.1073/pnas.71.10.4135","10.1016/0014-5793(83)80519-5"
"303","10.1073/pnas.71.10.4135","10.3390/ijms22020952"
"304","10.1073/pnas.71.10.4135","10.1021/nl502890g"
"305","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1003300"
"306","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1003016"
"307","10.1073/pnas.71.10.4135","10.1103/physrevlett.115.038102"
"308","10.1073/pnas.71.10.4135","10.1016/j.semcdb.2011.03.009"
"309","10.1073/pnas.71.10.4135","10.1016/j.semcdb.2010.03.006"
"310","10.1073/pnas.71.10.4135","10.1002/bbpc.19770811216"
"311","10.1073/pnas.71.10.4135","10.1016/j.bpj.2014.09.038"
"312","10.1073/pnas.71.10.4135","10.1016/j.bpj.2013.04.042"
"313","10.1073/pnas.71.10.4135","10.1093/nar/gkac687"
"314","10.1073/pnas.71.10.4135","10.1103/physrevlett.131.068401"
"315","10.1073/pnas.71.10.4135","10.1039/d3cp04410f"
"316","10.1073/pnas.71.10.4135","10.1126/science.1206629"
"317","10.1073/pnas.71.10.4135","10.1126/science.3510456"
"318","10.1073/pnas.71.10.4135","10.1021/acs.biochem.9b00237"
"319","10.1073/pnas.71.10.4135","10.1021/bi00302a020"
"320","10.1073/pnas.71.10.4135","10.1103/physreve.99.060401"
"321","10.1073/pnas.71.10.4135","10.1103/physreve.99.052101"
"322","10.1073/pnas.71.10.4135","10.1103/physreve.99.022423"
"323","10.1073/pnas.71.10.4135","10.1021/jp026753k"
"324","10.1073/pnas.71.10.4135","10.1021/acschembio.9b00973"
"325","10.1073/pnas.71.10.4135","10.1016/j.bpj.2017.11.1170"
"326","10.1073/pnas.71.10.4135","10.1016/s0161-5890(02)00065-2"
"327","10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)30277-6"
"328","10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)34673-2"
"329","10.1073/pnas.71.10.4135","10.1074/jbc.m113.546515"
"330","10.1073/pnas.71.10.4135","10.1080/01496398208068550"
"331","10.1073/pnas.71.10.4135","10.1016/j.copbio.2013.04.008"
"332","10.1073/pnas.71.10.4135","10.1016/j.copbio.2009.08.006"
"333","10.1073/pnas.71.10.4135","10.1006/jtbi.2000.2163"
"334","10.1073/pnas.71.10.4135","10.1016/j.aam.2019.06.001"
"335","10.1073/pnas.71.10.4135","10.1038/s41467-018-03826-4"
"336","10.1073/pnas.71.10.4135","10.1093/nar/gku1370"
"337","10.1073/pnas.71.10.4135","10.1016/0014-5793(84)80617-1"
"338","10.1073/pnas.71.10.4135","10.3390/ijms21249449"
"339","10.1073/pnas.71.10.4135","10.1038/nrm2203"
"340","10.1073/pnas.71.10.4135","10.1063/1.5004793"
"341","10.1073/pnas.71.10.4135","10.3390/e21121212"
"342","10.1073/pnas.71.10.4135","10.3390/e21080743"
"343","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1002144"
"344","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1001069"
"345","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1000804"
"346","10.1073/pnas.71.10.4135","10.1371/journal.pbio.2006459"
"347","10.1073/pnas.71.10.4135","10.3934/biophy.2015.4.398"
"348","10.1073/pnas.71.10.4135","10.1109/memb.2006.1578663"
"349","10.1073/pnas.71.10.4135","10.1103/physreve.92.060101"
"350","10.1073/pnas.71.10.4135","10.1103/physreve.92.032702"
"351","10.1073/pnas.71.10.4135","10.1103/physreve.92.022716"
"352","10.1073/pnas.71.10.4135","10.1073/pnas.1610917113"
"353","10.1073/pnas.71.10.4135","10.1016/j.devcel.2019.04.031"
"354","10.1073/pnas.71.10.4135","10.1038/s41586-020-2447-x"
"355","10.1073/pnas.71.10.4135","10.1103/physreve.63.031909"
"356","10.1073/pnas.71.10.4135","10.1002/cphc.202200644"
"357","10.1073/pnas.71.10.4135","10.1021/bi00505a025"
"358","10.1073/pnas.71.10.4135","10.1103/physreve.98.012420"
"359","10.1073/pnas.71.10.4135","10.1016/j.cell.2006.05.045"
"360","10.1073/pnas.71.10.4135","10.1016/j.cell.2005.10.032"
"361","10.1073/pnas.71.10.4135","10.1016/j.cell.2005.09.034"
"362","10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)33149-6"
"363","10.1073/pnas.71.10.4135","10.1016/s0021-9258(18)67064-4"
"364","10.1073/pnas.71.10.4135","10.1074/jbc.m113.544429"
"365","10.1073/pnas.71.10.4135","10.1016/s0958-1669(02)00329-4"
"366","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1979.tb02041.x"
"367","10.1073/pnas.71.10.4135","10.1038/nrm2023"
"368","10.1073/pnas.71.10.4135","10.1038/nrm1588"
"369","10.1073/pnas.71.10.4135","10.1021/ja3095558"
"370","10.1073/pnas.71.10.4135","10.3390/e20050368"
"371","10.1073/pnas.71.10.4135","10.3390/e20040306"
"372","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.0030125"
"373","10.1073/pnas.71.10.4135","10.3390/genes2040998"
"374","10.1073/pnas.71.10.4135","10.3390/biom9100588"
"375","10.1073/pnas.71.10.4135","10.1007/s11538-013-9884-8"
"376","10.1073/pnas.71.10.4135","10.1016/j.jmb.2006.07.068"
"377","10.1073/pnas.71.10.4135","10.1016/j.jmb.2006.07.031"
"378","10.1073/pnas.71.10.4135","10.1073/pnas.1012051108"
"379","10.1073/pnas.71.10.4135","10.1016/j.devcel.2018.03.002"
"380","10.1073/pnas.71.10.4135","10.1016/j.devcel.2017.10.006"
"381","10.1073/pnas.71.10.4135","10.1016/j.devcel.2017.09.014"
"382","10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.11.4018"
"383","10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.10.037"
"384","10.1073/pnas.71.10.4135","10.1016/j.bpj.2011.07.001"
"385","10.1073/pnas.71.10.4135","10.1016/j.tcb.2022.07.006"
"386","10.1073/pnas.71.10.4135","10.1038/382496a0"
"387","10.1073/pnas.71.10.4135","10.1088/1367-2630/acc757"
"388","10.1073/pnas.71.10.4135","10.1128/jb.00852-08"
"389","10.1073/pnas.71.10.4135","10.1016/s0021-9258(20)79678-x"
"390","10.1073/pnas.71.10.4135","10.1074/jbc.m704788200"
"391","10.1073/pnas.71.10.4135","10.1091/mbc.e17-06-0350"
"392","10.1073/pnas.71.10.4135","10.1039/c6mb00388e"
"393","10.1073/pnas.71.10.4135","10.1039/c5mb00055f"
"394","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1977.tb11415.x"
"395","10.1073/pnas.71.10.4135","10.1063/1.5140714"
"396","10.1073/pnas.71.10.4135","10.1093/nar/gkt136"
"397","10.1073/pnas.71.10.4135","10.3390/ijms16059866"
"398","10.1073/pnas.71.10.4135","10.1016/s0300-9084(02)01409-8"
"399","10.1073/pnas.71.10.4135","10.1063/1.4967335"
"400","10.1073/pnas.71.10.4135","10.1021/jp004117l"
"401","10.1073/pnas.71.10.4135","10.4049/jimmunol.170.7.3769"
"402","10.1073/pnas.71.10.4135","10.1073/pnas.1602602113"
